Date,Amount
25May2016,54241.35
29May2017,54008.83
30Jun2017,54008.82
05Jan2017,52704.37
23Feb2017,52704.36
04Nov2016,52000
28Sep2017,49878.83
04Apr2017,49878.82
25Jul2017,49878.82
24Aug2017,49878.82
18Nov2016,49372.36
02May2017,49371.83
24Mar2016,48341.35
24Jun2016,48341.35
25Apr2016,48341.34
08Dec2016,47950.36
23Jan2015,46080.76
24Apr2015,45884.87
24Jul2015,45884.87
23Oct2015,45884.87
25Jan2016,45884.87
25Mar2015,45884.86
25May2015,45884.86
25Jun2015,45884.86
25Aug2015,45884.86
25Sep2015,45884.86
25Nov2015,45884.86
15Dec2015,45884.86
25Feb2016,45884.86
25Feb2015,45645.05
25Jul2016,45360.23
28Sep2016,43854.36
23May2016,43198.67
25Oct2016,43090.37
30Aug2016,34999
22Feb2016,32000
17Feb2015,30000
22Jul2015,27496.66
23Aug2016,25000
20Oct2016,24621.54
20Aug2014,23969.65
20Oct2014,23969.65
21Jul2014,23969.64
20Sep2014,23969.64
20Nov2014,23969.64
31Oct2016,23900
14Jul2017,23670.9
20Mar2014,21396.81
01Jul2014,21000
09Feb2015,20000
20May2015,20000
18Oct2016,20000
26Oct2016,20000
22Jun2015,19937.6
25May2015,19800
20Dec2016,19597.97
11Jul2016,18500
22Apr2014,18400.79
20May2014,18400.79
20Jun2014,18400.79
13May2016,18400
20Dec2014,18388.58
09May2015,18000
04Jun2015,18000
06Jul2015,17720
11Aug2015,17720
02Sep2015,17720
05Oct2015,17720
05Nov2015,17720
02Dec2015,17720
05Jan2016,17720
03Feb2016,17720
20Sep2013,17717.64
21Oct2013,17687.55
20Nov2013,17687.55
20Dec2013,17687.55
20Feb2014,17687.55
20Jan2014,17687.54
09Sep2016,17397.95
27Jun2016,17380.6
01Sep2014,17000
07Feb2017,15916.94
08Mar2017,15916.43
30Jun2017,15916.43
30Aug2017,15691.28
29Jul2016,15635.86
20Mar2017,15400
26Sep2016,15117
12May2014,15000
22Sep2014,15000
31Mar2015,15000
30Dec2015,15000
26Apr2017,15000
04Sep2017,15000
29Jul2017,14831.37
06Apr2017,14361.52
30Sep2016,14300
01Aug2016,14198.47
02May2017,13750.09
